,T0,T1,T2,u0,u1,u2,Ta0,Ta1,Ta2,y
154,0.016140906,0.021205245,0.037331943,0.174323144,0.172547015,0.165213772,0.413333333,0.409166667,0.405,0.045721277
155,0.025285162,0.016140906,0.021205245,0.168092278,0.174323144,0.172547015,0.415,0.413333333,0.409166667,-0.024533541
156,0.020378453,0.025285162,0.016140906,0.169549793,0.168092278,0.174323144,0.416666667,0.415,0.413333333,0.022489468
157,0.024876347,0.020378453,0.025285162,0.165793885,0.169549793,0.168092278,0.418333333,0.416666667,0.415,-0.051018777
158,0.014672592,0.024876347,0.020378453,0.170364057,0.165793885,0.169549793,0.42,0.418333333,0.416666667,0.018529051
159,0.018378402,0.014672592,0.024876347,0.16738719,0.170364057,0.165793885,0.409166667,0.42,0.418333333,0.034167241
160,0.02521185,0.018378402,0.014672592,0.16237999,0.16738719,0.170364057,0.398333333,0.409166667,0.42,-0.028070716
161,0.019597707,0.02521185,0.018378402,0.164254248,0.16237999,0.16738719,0.3875,0.398333333,0.409166667,0.039143832
162,0.027426473,0.019597707,0.02521185,0.158598706,0.164254248,0.16237999,0.376666667,0.3875,0.398333333,-0.003066077
163,0.026813258,0.027426473,0.019597707,0.157432722,0.158598706,0.164254248,0.369166667,0.376666667,0.3875,0.043777498
164,0.035568757,0.026813258,0.027426473,0.150835722,0.157432722,0.158598706,0.361666667,0.369166667,0.376666667,-0.092175465
165,0.017133664,0.035568757,0.026813258,0.159613484,0.150835722,0.157432722,0.354166667,0.361666667,0.369166667,0.035716232
166,0.024276911,0.017133664,0.035568757,0.154494721,0.159613484,0.150835722,0.346666667,0.354166667,0.361666667,-0.131246873
167,-0.001972464,0.024276911,0.017133664,0.168458138,0.154494721,0.159613484,0.343333333,0.346666667,0.354166667,0.031050413
168,0.004237619,-0.001972464,0.024276911,0.164945172,0.168458138,0.154494721,0.34,0.343333333,0.346666667,-0.055148535
169,-0.006792088,0.004237619,-0.001972464,0.171143744,0.164945172,0.168458138,0.336666667,0.34,0.343333333,0.018147715
170,-0.003162545,-0.006792088,0.004237619,0.169403849,0.171143744,0.164945172,0.333333333,0.336666667,0.34,0.051114135
171,0.007060282,-0.003162545,-0.006792088,0.16361623,0.169403849,0.171143744,0.326666667,0.333333333,0.336666667,0.080900549
172,0.023240392,0.007060282,-0.003162545,0.153785595,0.16361623,0.169403849,0.32,0.326666667,0.333333333,0.053582081
173,0.033956808,0.023240392,0.007060282,0.146243219,0.153785595,0.16361623,0.313333333,0.32,0.326666667,-0.028796752
174,0.028197457,0.033956808,0.023240392,0.147716351,0.146243219,0.153785595,0.306666667,0.313333333,0.32,0.006197724
175,0.029437002,0.028197457,0.033956808,0.145426758,0.147716351,0.146243219,0.315,0.306666667,0.313333333,-0.045285447
176,0.020379913,0.029437002,0.028197457,0.149074671,0.145426758,0.147716351,0.323333333,0.315,0.306666667,-0.066415522
177,0.007096808,0.020379913,0.029437002,0.155690931,0.149074671,0.145426758,0.331666667,0.323333333,0.315,0.052485801
178,0.017593969,0.007096808,0.020379913,0.14917332,0.155690931,0.149074671,0.34,0.331666667,0.323333333,-0.078651258
179,0.001863717,0.017593969,0.007096808,0.157371858,0.14917332,0.155690931,0.348333333,0.34,0.331666667,-0.00503917
180,0.000855883,0.001863717,0.017593969,0.157856221,0.157371858,0.14917332,0.356666667,0.348333333,0.34,0.012920216
181,0.003439926,0.000855883,0.001863717,0.156301314,0.157856221,0.157371858,0.365,0.356666667,0.348333333,0.032556013
182,0.009951129,0.003439926,0.000855883,0.152312005,0.156301314,0.157856221,0.373333333,0.365,0.356666667,0.018946695
